"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"1","L3","ADHD",0.0907706035017687,0.10697110755429,0.0114879399040066,1.17847743022008,0.126560135779893,0.160583379884472,3.03665205001776e-09,4.12730990986708e-09,0.735746071008163,0.46188524641091,0.960174240942764
"5","L3","Alzheimer Disease",0.0907706035017687,0.135993948231957,0.0188607344593548,1.49821575472181,0.207784610124216,0.0196295437618078,-2.46283839830637e-09,1.46115295044126e-09,-1.68554455408834,0.0918835563516221,0.71088856756255
"6","L3","Anorexia",0.0907706035017687,0.100495589100802,0.0120475107735939,1.10713805157022,0.132724806367065,0.418864694680431,7.51947557715896e-10,6.50975380906197e-09,0.115510905599708,0.90804017691955,0.980860128693117
"7","L3","Autism",0.0907706035017687,0.0887156650795469,0.017848485536225,0.977361190264844,0.196632883859555,0.908194930809943,-5.7405527089939e-09,7.02114068871875e-09,-0.817609696700361,0.413580088868428,0.960174240942764
"8","L3","BMI",0.0907706035017687,0.10779250573897,0.00627685639050109,1.18752659540122,0.0691507619025446,0.00714631504844813,-3.47376675698376e-09,3.10032009935626e-09,-1.12045422590559,0.26252024826743,0.870165750603666
"9","L3","Bipolar",0.0907706035017687,0.138097796469619,0.00870884238997909,1.52139339325785,0.0959434228043818,2.18825158955918e-07,7.60155003558379e-09,3.5492773903581e-09,2.14171765110104,0.0322162094621446,0.555461970307258
"14","L3","Epilepsy",0.0907706035017687,0.141276049559777,0.0162225362936817,1.55640751641609,0.178720154629859,0.000575494709301679,1.18532771502294e-08,1.853728054893e-08,0.639429128719404,0.522543804594702,0.960174240942764
"15","L3","Age of smoking",0.0907706035017687,0.127705408498217,0.0123323955227228,1.40690271488312,0.135863319697797,0.0028870242804231,2.27906911887377e-09,1.19573540251471e-09,1.90599786046372,0.0566504832419192,0.631566049733871
"16","L3","Cigarettes per day",0.0907706035017687,0.112269973033096,0.00866120139547517,1.23685387892026,0.0954185723278396,0.00982947124563028,-1.1813659823819e-09,1.81722832274243e-09,-0.65009221328835,0.515632658710229,0.960174240942764
"17","L3","Drinks per week",0.0907706035017687,0.126157328377802,0.00897250257180606,1.38984785283865,0.098848109692597,0.000121156154757166,9.76961604810766e-10,9.07059295964352e-10,1.07706476209154,0.281451334229249,0.870165750603666
"18","L3","Smoking cessation",0.0907706035017687,0.119480938473673,0.00774933570969169,1.31629551709817,0.0853727463599016,0.000272057228820191,1.75863198802739e-09,1.28824667476747e-09,1.36513605854626,0.172210290640201,0.870165750603666
"19","L3","Smoking initiation",0.0907706035017687,0.113192253832888,0.00669706690735047,1.24701444593438,0.0737801297886047,0.000715192472066334,1.88725392869354e-09,8.82453547859974e-10,2.1386439357293,0.0324645163594404,0.555461970307258
"20","L3","Height",0.0907706035017687,0.150506309124195,0.0100432202116943,1.65809527884501,0.110643973095305,9.08116774404468e-09,4.44009812616114e-09,1.10652919033358e-08,0.401263533302957,0.688226108993486,0.965022618500798
"22","L3","Intelligence",0.0907706035017687,0.112884286519177,0.00678043082839869,1.24362163700914,0.0746985319786551,0.00122485750469634,1.58573844660022e-09,2.61908202161575e-09,0.60545581753944,0.54487617298672,0.962306113698904
"23","L3","Depression",0.0907706035017687,0.0938338653929711,0.00670136569407996,1.03374729012508,0.0738274885871986,0.647456686572951,-1.25941998811715e-10,9.2717367772278e-10,-0.135834312208949,0.891952265222969,0.980860128693117
"28","L3","Type 2 Diabetes",0.0907706035017687,0.121291247740515,0.0273610364871045,1.33623930062503,0.301430589106652,0.249376037127762,-1.41331686191641e-09,5.23493324547904e-09,-0.269978010347499,0.787177170850644,0.977920239060887
"29","L3","Parkinson Disease",0.0907706035017687,0.180412894636356,0.0342846310069714,1.98756962801113,0.377706324342146,0.0039023645770095,4.40140279296869e-09,3.89466052451696e-09,1.13011205091221,0.258429012452609,0.870165750603666
"30","L3","PTSD",0.0907706035017687,0.0773826226919175,0.0470216159332269,0.852507526739201,0.518026917517527,0.769736953520807,-1.0223048713798e-09,3.37249090385933e-09,-0.303130505173468,0.761790407397174,0.973998731721664
"32","L3","Schizophrenia",0.0907706035017687,0.123210705213906,0.00691534272584206,1.3573855462083,0.0761848270151395,3.47980147017626e-06,8.19653422121997e-09,5.7068078202461e-09,1.43627304079542,0.150924662196723,0.870165750603666
"35","L3","Education Years",0.0907706035017687,0.119785570090657,0.00627877051651419,1.31965157737794,0.0691718494125892,7.61689588044104e-06,4.7620306099285e-09,1.84729621928707e-09,2.57783811833183,0.0099420561883895,0.487160753231085
"36","L3","Neuroticism",0.0907706035017687,0.0921953129426465,0.00625191791548621,1.01569571409592,0.0688760201463724,0.819751035931001,-1.70180547009591e-09,1.53448501881516e-09,-1.10904013348397,0.267412868997624,0.870165750603666
"37","L2","ADHD",0.0809902906465001,0.0812341600796258,0.0107768032758641,1.00301109467788,0.133062904081945,0.981937605475207,-3.75284011553958e-09,4.3810779831636e-09,-0.856601989273342,0.391664885960559,0.943848167806592
"41","L2","Alzheimer Disease",0.0809902906465001,0.139377047798261,0.0215942600403806,1.7209105768814,0.266627763254159,0.0116465912742227,-1.78145217115765e-09,1.9593513695916e-09,-0.90920505571646,0.363241896016428,0.920630322662326
"42","L2","Anorexia",0.0809902906465001,0.0927684533795946,0.011378420025228,1.14542684856513,0.140491161772608,0.30030579133678,1.06387971367971e-09,6.78784382061116e-09,0.15673308664664,0.875455209958306,0.980860128693117
"43","L2","Autism",0.0809902906465001,0.0895174285879149,0.0158134517396013,1.10528592839151,0.195251203735304,0.58881581932213,-2.15426095009913e-09,7.11229575199512e-09,-0.302892487210592,0.761971796925111,0.973998731721664
"44","L2","BMI",0.0809902906465001,0.104574371265112,0.00752448799299526,1.29119639441165,0.0929060500083588,0.00202314907371172,1.00859787657384e-10,3.76918284293289e-09,0.0267590594196015,0.978651907365102,0.987179529319996
"45","L2","Bipolar",0.0809902906465001,0.121251957759438,0.00913833196588862,1.49711720740291,0.112832438221204,9.31185120125049e-06,5.39920170155054e-09,3.97082100728106e-09,1.35971923480065,0.173918788887679,0.870165750603666
"50","L2","Epilepsy",0.0809902906465001,0.135767121032728,0.0133485522108087,1.67633823695378,0.164816697214625,0.000142203230728768,2.05321281167535e-08,1.97117170662188e-08,1.0416204761756,0.297587671509761,0.870165750603666
"51","L2","Age of smoking",0.0809902906465001,0.0927635435059994,0.0106652782198753,1.14536622557494,0.131685886477754,0.268580229527478,-4.20670817419704e-10,1.17103351953666e-09,-0.359230381027989,0.719422750636025,0.965022618500798
"52","L2","Cigarettes per day",0.0809902906465001,0.108089509763677,0.0153305647561198,1.33459836853108,0.189288921347787,0.0853499288222501,-4.81727659467452e-11,2.63248311037279e-09,-0.0182993637288421,0.985400035053167,0.987179529319996
"53","L2","Drinks per week",0.0809902906465001,0.113997705847775,0.00951019105599366,1.40754780527141,0.117423841550378,0.00082676363848935,9.3426954535626e-10,9.3178004762333e-10,1.0026717654443,0.316019257087279,0.870165750603666
"54","L2","Smoking cessation",0.0809902906465001,0.0990797102941136,0.00877277092302631,1.22335294148491,0.108318797883033,0.0420689234707786,1.17627936040082e-10,1.45401748613982e-09,0.0808985704514223,0.935522616855333,0.980860128693117
"55","L2","Smoking initiation",0.0809902906465001,0.0871574281412752,0.00614245880490301,1.07614662752222,0.0758419158132561,0.313550109809018,-3.9858619569128e-10,9.39023233894743e-10,-0.424468938897372,0.671223853322204,0.965022618500798
"56","L2","Height",0.0809902906465001,0.136983414786816,0.0105972335760384,1.69135600938525,0.130845728437898,2.88317943689209e-07,1.20986828992694e-09,1.29023299683231e-08,0.0937713027722377,0.925290828283812,0.980860128693117
"58","L2","Intelligence",0.0809902906465001,0.0925766428293526,0.00547167616414306,1.1430585331941,0.0675596558607919,0.0347123802382034,-2.83995635418559e-09,2.27663664269558e-09,-1.2474350543805,0.212238019901469,0.870165750603666
"59","L2","Depression",0.0809902906465001,0.0852547457041918,0.00721059864039374,1.05265390485268,0.0890304082481439,0.553665336431401,6.51534524080732e-11,1.13367653990028e-09,0.057470936475235,0.954170057164052,0.980860128693117
