"","cell","trait","Prop._SNPs","Prop._h2","Prop._h2_std_error","Enrichment","Enrichment_std_error","Enrichment_p","Coefficient","Coefficient_std_error","Coefficient_z.score","p_zcore","FDR"
"3","WM","Autism",0.126209685062921,0.140484632954858,0.0189584622643225,1.11310501159099,0.150214005009764,0.455314670185299,5.81652135243521e-09,6.08563612517562e-09,0.955778694748588,0.339184054372313,0.570821945163161
"4","WM","BMI",0.126209685062921,0.126718477364566,0.00606462401232343,1.00403132534077,0.0480519700948459,0.933025369726734,-5.7079600496389e-09,1.89680713811136e-09,-3.0092463988312,0.00261896620756079,0.0361417336643389
"7","WM","Epilepsy",0.126209685062921,0.156336482009446,0.017731173858405,1.23870431917729,0.14048980353263,0.104834869875577,-7.69633483377725e-09,1.86334554848028e-08,-0.413038517737856,0.679578393621751,0.850436008555368
"8","WM","Cigarettes per day",0.126209685062921,0.151967343223182,0.0217951738019004,1.20408622482037,0.172690184521374,0.248666335354794,6.45688480227412e-10,2.5201149402273e-09,0.256213901168005,0.79778567522788,0.933003586283453
"9","WM","Drinks per week",0.126209685062921,0.135066634903786,0.010684951323534,1.07017646733251,0.0846603120688168,0.409324714259332,-6.22726469194127e-10,7.72435285120853e-10,-0.806185943585807,0.420135642369447,0.62064856413021
"10","WM","Smoking cessation",0.126209685062921,0.137170252103669,0.0101771211617503,1.08684410420075,0.0806366100721712,0.286717799052573,-1.51936111201234e-10,1.13476174904146e-09,-0.13389252090104,0.893487564489862,0.963291280465632
"11","WM","Smoking initiation",0.126209685062921,0.0946333884217951,0.00714920089048689,0.749810827708,0.0566454221553811,1.22929097275359e-05,-2.4128653227161e-09,7.61154649552587e-10,-3.17000667884563,0.00152435433759784,0.0361417336643389
"12","WM","Height",0.126209685062921,0.180298361977869,0.0103082730163142,1.42856201477709,0.0816757684735133,2.7541996944677e-07,-1.57168754755423e-08,9.20037038648986e-09,-1.70828725532849,0.0875830549225779,0.208387268608892
"14","WM","Intelligence",0.126209685062921,0.11095539441475,0.00745652278784566,0.879135340203358,0.0590804325684533,0.0423704729016993,-7.05399977201833e-09,2.27653017274628e-09,-3.09857512826583,0.00194453661057006,0.0361417336643389
"15","WM","Depression",0.126209685062921,0.109853444019519,0.0083663069799109,0.870404232169282,0.0662889458581558,0.0486083757294698,-4.61894854723486e-10,9.11284022750131e-10,-0.506861574648867,0.612251948584658,0.812411239468104
