"","NMF","p.value","statistic","epsilon_squared_values"
"1","NMF_1",0,6765.35727183054,0.0603893391160373
"2","NMF_2",0,5501.44256017816,0.0491073075737368
"3","NMF_3",0,1695.40962151717,0.0151336673675313
"4","NMF_4",0.01173046796637,16.4065487934931,0.000146449122936857
"5","NMF_5",0,44776.7623549515,0.399689030116769
"6","NMF_6",0.00254305457307142,20.2078310678772,0.000180380357477771
"7","NMF_7",0,30862.8328536379,0.275489675473653
"8","NMF_8",0,5820.39119977959,0.0519543261100215
"9","NMF_9",0,8870.32236846698,0.0791788052063928
"10","NMF_10",0,24061.2456079423,0.214776938185134
"11","NMF_11",0,41136.501367105,0.367195113471556
"12","NMF_12",6.45564165480697e-306,1430.36160822235,0.012767779844704
"13","NMF_13",4.975725878985e-10,54.8476497382679,0.000489584390990439
"14","NMF_14",1.81130647881509e-64,312.386485260544,0.00278844303939644
"15","NMF_15",0,21821.3269417273,0.194782841422554
"16","NMF_16",1.77774658008228e-07,42.0742301625776,0.00037556552466395
"17","NMF_17",3.81310193447332e-32,160.902587888065,0.00143625836067505
"18","NMF_18",1.42253621911209e-145,689.038711318459,0.00615053880083245
"19","NMF_19",0,6134.48225348239,0.0547579845708021
"20","NMF_20",0,1856.90263698739,0.0165751960384132
"21","NMF_21",3.55117552372654e-144,682.566224963408,0.00609276370371428
"22","NMF_22",1.00236689776094e-136,648.04773614257,0.00578464269200448
"23","NMF_23",0,19092.5830131933,0.170425363193399
"24","NMF_24",0.586608632277673,4.67129284497505,4.16971752401168e-05
"25","NMF_25",2.56051036667395e-19,99.9579485055162,0.000892250653897796
"26","NMF_26",0,3173.78649700769,0.0283300439797525
"27","NMF_27",0.482426401282045,5.49198131537298,4.90228540411231e-05
"28","NMF_28",1.01411620748104e-56,276.216311316998,0.00246557865657105
"29","NMF_29",0,6449.33920380119,0.0575684796240365
"30","NMF_30",9.62676094136813e-100,476.511800303385,0.00425346830109512
"31","NMF_31",0,50797.2019350671,0.453429040115212
"32","NMF_32",0,3407.45371282609,0.030415818340127
"33","NMF_33",0,49047.3959367793,0.437809816536605
"34","NMF_34",2.51178166211763e-48,236.952500451856,0.00211509966572812
"35","NMF_35",1.92940334946934e-101,484.397018701797,0.00432385381197545
"36","NMF_36",0,2415.5065537771,0.0215614399287425
"37","NMF_37",0,5782.60994754389,0.0516170808232144
"38","NMF_38",0,1522.79262328496,0.0135928431324475
"39","NMF_39",0,46537.6076765495,0.415406793567286
"40","NMF_40",0,14654.9990591116,0.130814334316218
"41","NMF_41",2.23210706980991e-67,325.953185211499,0.00290954293273615
"42","NMF_42",2.23317671920243e-321,1501.75576231533,0.0134050626383823
"43","NMF_43",0,1757.26706593082,0.0156858230094959
"44","NMF_44",1.22767097179201e-294,1378.27105879833,0.012302806048419
"45","NMF_45",5.26372612803419e-45,221.387896081529,0.00197616595775673
"46","NMF_46",8.36047876177164e-245,1148.05103353454,0.0102478022077725
"47","NMF_47",2.80589965954324e-62,302.168635550835,0.00269723585456297
"48","NMF_48",4.30222619059713e-10,55.1604494181354,0.000492376522312396
"49","NMF_49",0,2460.66085165549,0.021964498939163
"50","NMF_50",0,5302.80333825733,0.0473342021999422
"51","NMF_51",1.08146645041756e-40,201.147205780193,0.00179549229021229
"52","NMF_52",0,15092.9661983531,0.134723742944711
"53","NMF_53",0.727178819068351,3.62569135228578,3.23638642876914e-05
"54","NMF_54",0,2108.0956489111,0.0188174102144186
"55","NMF_55",1.46687430860421e-229,1077.59619817769,0.00961890401751052
"56","NMF_56",0,1914.49936925,0.0170893194552304
"57","NMF_57",1.54552098174478e-81,391.893554249934,0.00349814382213476
"58","NMF_58",1.05469406623551e-41,205.894908978195,0.00183787152414281
"59","NMF_59",3.80920953525902e-18,94.3313750639943,0.000842026395522537
"60","NMF_60",1.05914328174259e-314,1470.92967297636,0.01312990094508
"61","NMF_61",0,17786.3348550132,0.15876545229372
"62","NMF_62",0,2121.90291360463,0.018940657451237
"63","NMF_63",7.93443172020694e-80,383.93503827941,0.00342710403805631
"64","NMF_64",4.59363422646272e-55,268.47699167784,0.00239649547597354
"65","NMF_65",0,2072.26351267142,0.0184975632440834
"66","NMF_66",1.96858671628237e-78,377.44465016948,0.00336916914521669
"67","NMF_67",7.64559648626044e-22,112.03317403643,0.00100003725853511
"68","NMF_68",3.0297461699111e-50,245.93547275213,0.00219528401353337
"69","NMF_69",6.60797302350252e-59,286.427474813809,0.00255672615852868
"70","NMF_70",1.64778950443753e-96,461.493794606814,0.0041194136750914
"71","NMF_71",7.53357329050657e-311,1453.14174397102,0.0129711212629857
"72","NMF_72",0.125883719521598,9.97087941055532,8.90026636902527e-05
"73","NMF_73",7.43697448817625e-235,1102.07022429922,0.00983736554195092
"74","NMF_74",6.07495908467667e-64,309.934918816979,0.00276655971950994
"75","NMF_75",7.38396454430503e-220,1032.74759514086,0.00921857371877692
