"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","0","7014","7029","1058","1078","0","0","0","0","1","1","2015.6066","0","531.4978","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36.502518","21.174223","15.328296","18.022047","0.74823"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1","7030","7046","1058","1077","0","0","0","0","1","1","1835.6578","0","312.40793","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49.851482","39.494526","10.356956","13.301987","0.76538"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2","7100","7120","1058","1077","0","0","0","0","1","1","505.20438","0","126.9265","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53.902203","47.59597","6.306236","10.51286","0.837773"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","3","7118","7150","1084","1109","0","0","0","0","1","1","2136.601","0","633.4229","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","115.12332","81.19854","33.924786","26.603973","0.762601"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","4","7119","7137","1108","1123","0","0","0","0","1","1","826.7353","0","378.91498","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.565918","38.435818","3.130102","7.294638","0.758632"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","5","7099","7116","1131","1150","0","0","0","0","1","1","640.67584","0","170.19017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.792774","42.11829","6.674483","11.371053","0.878201"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","6","7116","7131","1131","1149","0","0","0","0","1","1","404.5","0","181.84387","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41.289734","37.14695","4.142783","9.225572","0.710096"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","7","7022","7042","1143","1165","0","0","0","0","1","1","2073.5576","0","378.11572","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58.919575","48.930866","9.988709","13.731083","0.76536"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","8","7077","7101","1147","1167","0","0","0","0","1","1","1801.3357","0","286.19733","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71.670135","58.781483","12.888657","15.447468","0.790926"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","9","7031","7054","1158","1182","0","0","0","0","1","1","2263.4985","0","356.25342","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","75.720856","60.66875","15.05211","18.236595","0.687807"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","10","7054","7082","1179","1204","0","0","0","0","1","1","2274.7136","0","396.40738","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","95.69828","74.80024","20.898037","23.600298","0.60264"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","11","7029","7049","1184","1221","0","0","0","0","1","1","2822.151","0","339.40732","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","106.37745","79.21921","27.158241","27.462166","0.531874"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","12","7049","7070","1199","1216","0","0","0","0","1","1","629.7976","0","295.59827","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51.416534","47.54994","3.866597","10.941957","0.442251"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","13","7015","7042","1208","1228","0","0","0","0","1","1","2937.6914","0","476.5902","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.589367","42.348446","19.240923","22.31301","0.646604"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","14","7018","7041","1227","1245","0","0","0","0","1","1","1872.9744","0","556.7317","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","60.944935","48.378494","12.566441","15.876565","0.855058"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","15","7126","7150","1238","1264","0","0","0","0","1","1","3403.3623","0","480.1148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","90.588844","69.36859","21.220253","20.596624","0.75138"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","16","7083","7104","1266","1285","0","0","0","0","1","1","836.601","0","165.74629","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61.68143","52.797462","8.883967","12.443794","0.778783"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","17","7103","7132","1271","1293","0","0","0","0","1","1","2909.4895","0","544.58453","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88.057144","63.70679","24.350355","24.029396","0.715431"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","18","7122","7143","1289","1315","0","0","0","0","1","1","1929.2695","0","470.81357","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.28261","59.011635","25.270973","23.171202","0.726012"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","19","7104","7122","1292","1312","0","0","0","0","1","1","1588.7133","0","448.73148","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1.380928","0","766.55286","555.1","57.906895","44.74205","13.164843","15.662017","0.835853"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","20","7027","7046","1301","1320","0","0","0","0","1","1","439.8042","0","151.30814","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","54.68473","48.10231","6.582421","10.727408","0.816474"
"D:\HAA\dACC revisions\Run 4\Br2720_dACC_20x_img_020-MaxIP-Stitched_unmixed_rotated.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","21","7067","7087","1324","1340","0","0","0","0","1","1","2428.5938","0","477.93454","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","48.14834","40.783394","7.364947","11.800149","0.818317"
