"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","ADCYAP1+","RORB+","PCP4+","AQP4+","DAPI Positive","DAPI Positive Nucleus","DAPI Nucleus Intensity","DAPI Positive Cytoplasm","DAPI Cytoplasm Intensity","AQP4-520 Copies","AQP4-520 Area (µm²)","AQP4-520 Classification","AQP4-520 Cell Intensity","AQP4-520 Avg Intensity","ADCYAP1-520 Copies","ADCYAP1-520 Area (µm²)","ADCYAP1-520 Classification","ADCYAP1-520 Cell Intensity","ADCYAP1-520 Avg Intensity","RORB-620 Copies","RORB-620 Area (µm²)","RORB-620 Classification","RORB-620 Cell Intensity","RORB-620 Avg Intensity","PCP4-690 Copies","PCP4-690 Area (µm²)","PCP4-690 Classification","PCP4-690 Cell Intensity","PCP4-690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","0","6441","6461","10","30","0","0","0","0","1","1","980.9281","0","178.17186","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","55.78947","48.746742","7.04273","11.156505","0.902393"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","1","6583","6606","28","48","0","0","0","0","1","1","1166.7072","0","206.75099","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59.1037","46.215042","12.888657","16.091112","0.889365"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","2","6632","6647","39","54","0","0","0","0","1","1","780.375","0","412.46765","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32.405766","31.301023","1.104742","3.861867","0.800611"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","3","6584","6601","45","57","0","0","0","0","1","1","1092.6719","0","258.0362","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29.643911","26.697931","2.945979","7.08009","0.843892"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","4","6532","6561","51","78","0","0","0","0","1","1","1264.8588","0","266.2079","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","119.95657","75.95101","44.005558","30.894936","0.664306"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","5","6482","6514","53","80","0","0","0","0","1","1","1686.0513","0","263.39185","0","0","0","0","0","0","0","0","0","0","1","0.966649","0","844.94354","874.0952","0","0","0","0","0","130.68178","85.7556","44.926174","30.036743","0.816778"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","6","6562","6579","56","79","0","0","0","0","1","1","1133.9565","0","215.75","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","62.417923","45.478546","16.939377","17.59295","0.827403"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","7","6421","6456","71","94","0","0","0","0","1","1","1698.4943","0","241.46924","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","116.32013","84.55879","31.761333","26.389425","0.652578"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","8","6493","6536","72","108","0","0","0","0","1","1","800.66626","0","275.91553","0","0","0","0","0","2","0.966649","0","602.6828","623.4762","0","0","0","0","0","0","0","0","0","0","198.94563","118.253426","80.6922","46.7715","0.729759"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","9","6437","6465","97","131","0","0","0","0","1","1","1223.749","0","312.32425","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2.071391","0","1112.4752","537.06665","131.87859","82.90168","48.976894","31.75313","0.789626"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","10","6392","6422","98","127","0","0","0","1","1","1","1743.3671","0","323.2553","10","16.433037","2","19555.592","1190.0168","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","124.37554","84.74292","39.63262","27.891262","0.894742"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","11","6424","6447","116","138","0","0","0","0","1","1","1873.5199","0","325.03088","3","3.912628","0","3571.493","912.81177","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68.35591","52.15303","16.202883","17.59295","0.831045"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","12","6550","6585","171","208","0","1","0","0","1","1","954.959","0","278.7969","0","0","0","0","0","3","5.01737","0","4983.6294","993.2752","5","3.958659","1","3186.352","804.907","0","0","0","0","0","172.47784","104.02988","68.447975","39.047768","0.785077"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","13","6580","6608","184","210","0","0","0","0","1","1","1897.9774","0","293.84225","0","0","0","0","0","1","1.51902","0","1758.1509","979.35895","2","2.623762","0","2122.5317","808.9649","0","0","0","0","0","111.0726","76.45735","34.61525","25.74578","0.820546"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","14","6484","6514","197","217","1","1","0","0","1","1","1301.7374","0","415.67288","0","0","0","0","0","9","10.679173","1","17661.281","1592.0457","6","5.431648","1","4866.0664","895.87286","0","0","0","0","0","89.80632","56.848183","32.958138","25.74578","0.739215"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","15","6484","6513","217","242","0","0","0","0","1","1","1961.9235","0","439.94043","0","0","0","0","0","1","1.058711","0","931.6658","880","0","0","0","0","0","0","0","0","0","0","110.19801","65.68612","44.511898","29.607647","0.769437"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","16","6517","6544","265","292","1","0","0","0","1","1","2060.882","0","475.0483","0","0","0","0","0","5","6.812576","1","6792.5522","964.4771","0","0","0","0","0","0","0","0","0","0","108.632965","76.227196","32.405766","25.531233","0.900883"
"D:\HAA\dACC revisions\Run 4\Br6432_dlPFC_20x_img_009-MaxIP-Stitched_unmixed.nd2","Layer 1","dACC_v17_ FISH-IF v2.4.4","17","6519","6551","293","311","1","0","0","0","1","1","596.87744","0","335.7541","0","0","0","0","0","4","5.01737","1","6245.1987","1244.7156","0","0","0","0","0","0","0","0","0","0","91.78565","73.005035","18.780615","21.669365","0.555923"
